Parte I: Bases Fundamentales~ Derechos~ Deberes;;primero:::Título I: Bases Fundamentales del Gobierno Autónomo Departamental;;primero:::Capítulo I: Disposiciones Generales;;primero:::Artículo 1. (declaración de sujeción a la Constitución Política del Estado),0.971		
Parte I: Bases Fundamentales~ Derechos~ Deberes;;primero:::Título I: Bases Fundamentales del Gobierno Autónomo Departamental;;primero:::Capítulo I: Disposiciones Generales;;primero:::Artículo 2. (Constitución Autonómica),0.971		
Parte I: Bases Fundamentales~ Derechos~ Deberes;;primero:::Título I: Bases Fundamentales del Gobierno Autónomo Departamental;;primero:::Capítulo I: Disposiciones Generales;;primero:::Artículo 3. (Naturaleza),0.971		
Parte I: Bases Fundamentales~ Derechos~ Deberes;;primero:::Título I: Bases Fundamentales del Gobierno Autónomo Departamental;;primero:::Capítulo I: Disposiciones Generales;;primero:::Artículo 4. (Ámbito de aplicación),0.971		
Parte I: Bases Fundamentales~ Derechos~ Deberes;;primero:::Título I: Bases Fundamentales del Gobierno Autónomo Departamental;;primero:::Capítulo I: Disposiciones Generales;;primero:::Artículo 5. (Ubicación y Organización Territorial),0.971		
Parte I: Bases Fundamentales~ Derechos~ Deberes;;primero:::Título I: Bases Fundamentales del Gobierno Autónomo Departamental;;primero:::Capítulo I: Disposiciones Generales;;primero:::Artículo 6. (Principios),0.971		
Parte I: Bases Fundamentales~ Derechos~ Deberes;;primero:::Título I: Bases Fundamentales del Gobierno Autónomo Departamental;;primero:::Capítulo I: Disposiciones Generales;;primero:::Artículo 7. (Valores),0.971		
Parte I: Bases Fundamentales~ Derechos~ Deberes;;primero:::Título I: Bases Fundamentales del Gobierno Autónomo Departamental;;primero:::Capítulo I: Disposiciones Generales;;primero:::Artículo 8. (Fines),0.971		
Parte I: Bases Fundamentales~ Derechos~ Deberes;;primero:::Título I: Bases Fundamentales del Gobierno Autónomo Departamental;;primero:::Capítulo I: Disposiciones Generales;;primero:::Artículo 9. (Sede),0.971		
Parte I: Bases Fundamentales~ Derechos~ Deberes;;primero:::Título I: Bases Fundamentales del Gobierno Autónomo Departamental;;primero:::Capítulo I: Disposiciones Generales;;primero:::Artículo 10. (Símbolos y fecha cívica),0.971		
Parte I: Bases Fundamentales~ Derechos~ Deberes;;primero:::Título I: Bases Fundamentales del Gobierno Autónomo Departamental;;primero:::Capítulo I: Disposiciones Generales;;primero:::Artículo 11. (Idiomas),0.971		
Parte I: Bases Fundamentales~ Derechos~ Deberes;;primero:::Título I: Bases Fundamentales del Gobierno Autónomo Departamental;;primero:::Capítulo II: Derechos y Deberes;;primero:::Artículo 12. (derechos),0.971		
Parte I: Bases Fundamentales~ Derechos~ Deberes;;primero:::Título I: Bases Fundamentales del Gobierno Autónomo Departamental;;primero:::Capítulo II: Derechos y Deberes;;primero:::Artículo 13. (deberes),0.971		
Parte II: Estructura y Organización del Gobierno Autónomo departamental;;segundo:::Título I: Estructura del Gobierno Autónomo departamental;;segundo:::Artículo 14. (Estructura del Gobierno Autónomo departamental),0.971				
Parte II: Estructura y Organización del Gobierno Autónomo departamental;;segundo:::Título I: Estructura del Gobierno Autónomo departamental;;segundo:::Capítulo I: Asamblea departamental;;segundo:::Artículo 15. (Asamblea departamental),0.971		
Parte II: Estructura y Organización del Gobierno Autónomo departamental;;segundo:::Título I: Estructura del Gobierno Autónomo departamental;;segundo:::Capítulo I: Asamblea departamental;;segundo:::Artículo 16. (Composición de la Asamblea departamental),0.971		
Parte II: Estructura y Organización del Gobierno Autónomo departamental;;segundo:::Título I: Estructura del Gobierno Autónomo departamental;;segundo:::Capítulo I: Asamblea departamental;;segundo:::Artículo 17. (Requisitos),0.971		
Parte II: Estructura y Organización del Gobierno Autónomo departamental;;segundo:::Título I: Estructura del Gobierno Autónomo departamental;;segundo:::Capítulo I: Asamblea departamental;;segundo:::Artículo 18. (Elección y duración del mandato de los Asambleístas departamentales),0.971		
Parte II: Estructura y Organización del Gobierno Autónomo departamental;;segundo:::Título I: Estructura del Gobierno Autónomo departamental;;segundo:::Capítulo I: Asamblea departamental;;segundo:::Artículo 19. (Organización de la Asamblea departamental),0.971		
Parte II: Estructura y Organización del Gobierno Autónomo departamental;;segundo:::Título I: Estructura del Gobierno Autónomo departamental;;segundo:::Capítulo I: Asamblea departamental;;segundo:::Artículo 20. (Atribuciones y funciones),0.971		
Parte II: Estructura y Organización del Gobierno Autónomo departamental;;segundo:::Título I: Estructura del Gobierno Autónomo departamental;;segundo:::Capítulo I: Asamblea departamental;;segundo:::Artículo 21. (Deliberación),0.971		
Parte II: Estructura y Organización del Gobierno Autónomo departamental;;segundo:::Título I: Estructura del Gobierno Autónomo departamental;;segundo:::Capítulo I: Asamblea departamental;;segundo:::Artículo 22. (Fiscalización),0.971		
Parte II: Estructura y Organización del Gobierno Autónomo departamental;;segundo:::Título I: Estructura del Gobierno Autónomo departamental;;segundo:::Capítulo I: Asamblea departamental;;segundo:::Artículo 23. (Iniciativa Legislativa),0.971		
Parte II: Estructura y Organización del Gobierno Autónomo departamental;;segundo:::Título I: Estructura del Gobierno Autónomo departamental;;segundo:::Capítulo I: Asamblea departamental;;segundo:::Artículo 24. (Procedimiento Legislativo),0.971		
Parte II: Estructura y Organización del Gobierno Autónomo departamental;;segundo:::Título I: Estructura del Gobierno Autónomo departamental;;segundo:::Capítulo II: Órgano Ejecutivo departamental;;segundo:::Artículo 25 (Órgano Ejecutivo departamental),0.971		
